"","Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","YOB","Sale_preds_reg"
"421","FDC09",15.5,"Regular",0.026302004,"Fruits and Vegetables",102.7332,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1742.34081321417
"422","FDH45",12.5,"Regular",0.105155137,"Fruits and Vegetables",43.2796,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2242.63029903068
"423","FDV32",7.785,"Low Fat",0.088708388,"Fruits and Vegetables",65.051,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1095.96447817489
"424","FDG12",6.635,"Regular",0.00632491,"Baking Goods",119.1098,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2121.23657857207
"425","FDS32",17.75,"Regular",0.029629236,"Fruits and Vegetables",140.1838,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2353.71974790139
"426","NCL55",12.15,"Low Fat",0.064924087,"Others",251.204,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3669.39182471651
"427","DRE01",10.1,"Low Fat",0.167123591,"Soft Drinks",243.5512,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3934.00938298045
"428","DRE15",13.35,"Low Fat",0.017813048,"Dairy",77.0012,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1326.85492616466
"429","NCL42",18.85,"Low Fat",0.04045348,"Household",247.0144,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3968.89163566996
"430","FDP31",21.1,"Regular",0.161370557,"Fruits and Vegetables",64.0168,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1126.30766996306
"431","FDN33",6.305,"Regular",0.123617286,"Snack Foods",93.5436,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1255.87642623826
"432","FDZ59",6.63,"Regular",0.104021582,"Baking Goods",164.85,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2659.87154936986
"433","FDE45",12.1,"Low Fat",0.067549872,"Fruits and Vegetables",178.3002,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1128.13503265343
"434","FDJ07",7.26,"Low Fat",0.01441152,"Meat",118.415,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1949.03757574561
"435","FDQ45",9.5,"Regular",0.010961524,"Snack Foods",184.4608,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2703.71430895099
"436","FDM33",12.5,"Low Fat",0.087294906,"Snack Foods",219.1798,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4899.90272125624
"437","FDO15",16.75,"Regular",0.014338639,"Meat",75.7038,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-441.06939195309
"438","FDM46",7.365,"Low Fat",0.159834724,"Snack Foods",92.512,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1491.40037613191
"439","FDR03",15.7,"Regular",0.008753653,"Meat",205.698,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3419.9589017914
"440","FDY49",17.2,"Regular",0.012061003,"Canned",166.4184,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2455.19452259959
"441","FDQ60",6.195,"Regular",0.109596256,"Baking Goods",118.8098,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2042.86341212303
"442","FDW10",21.2,"Low Fat",0,"Snack Foods",176.137,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2901.47840542599
"443","FDO51",6.785,"Regular",0.042047755,"Meat",44.6112,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,903.535413417597
"444","FDJ40",13.6,"Regular",0.049791265,"Frozen Foods",108.7912,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1495.56916956076
"445","FDS20",8.85,"Low Fat",0.054086343,"Fruits and Vegetables",182.2292,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2652.47357936499
"446","FDU45",15.6,"Regular",0.035476594,"Snack Foods",112.4518,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1880.34990691893
"447","FDV02",16.75,"Low Fat",0.060534179,"Dairy",169.4106,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2796.25999883101
"448","FDN09",14.15,"Low Fat",0.034874689,"Snack Foods",242.2828,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3826.47003443476
"449","NCM55",12.5,"Low Fat",0.066403009,"Others",186.6924,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4390.18084512646
"450","FDN23",6.575,"Regular",0.075815345,"Breads",144.6444,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2081.39111363361
"451","FDY31",5.98,"Low Fat",0.072915282,"Fruits and Vegetables",145.1418,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,613.520791642864
"452","FDW03",5.63,"Regular",0.041077066,"Meat",106.5306,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,36.1032308685492
"453","FDD14",20.7,"Low Fat",0.169808455,"Canned",183.4266,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2902.36977387026
"454","FDV23",11,"Low Fat",0.106435421,"Breads",125.7046,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2283.10310845567
"455","DRI03",6.03,"Low Fat",0.022749737,"Dairy",175.7028,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2868.83019552897
"456","FDN13",18.6,"Low Fat",0.152029528,"Breakfast",99.3358,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1724.99423051192
"457","FDF45",12.5,"Regular",0.01214561,"Fruits and Vegetables",59.7904,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2528.06078621554
"458","FDU46",10.3,"Regular",0.011124197,"Snack Foods",87.454,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1614.07275052081
"459","FDB57",20.25,"Regular",0.018834342,"Fruits and Vegetables",222.3772,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3701.59906655358
"460","FDV12",16.7,"Regular",0,"Baking Goods",99.6384,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1769.06540911812
"461","FDQ58",7.315,"Low Fat",0.015289106,"Snack Foods",151.134,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2448.01558938048
"462","NCA18",10.1,"Low Fat",0.056394771,"Household",115.9492,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2103.16370248572
"463","FDH52",9.42,"Regular",0,"Frozen Foods",61.3194,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1148.63900433252
"464","FDM24",6.135,"Regular",0.079650513,"Baking Goods",150.1366,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2161.37351338403
"465","NCP43",12.5,"Low Fat",0.030359318,"Others",181.166,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4315.20522638416
"466","NCO18",12.5,"Low Fat",0.04316119,"Household",176.4686,"OUT019",1985,"Small","Tier 1","Grocery Store",34,883.66696035322
"467","FDM32",20.5,"Low Fat",0.020721583,"Fruits and Vegetables",91.183,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1792.63065360033
"468","NCL07",13.85,"Low Fat",0.031515822,"Others",37.948,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,912.593023880819
"469","FDK03",12.6,"Regular",0.073858923,"Dairy",253.2356,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,4030.90499244201
"470","FDP59",20.85,"Regular",0.056785107,"Breads",102.2648,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1973.2475590355
"471","FDQ24",15.7,"Low Fat",0,"Baking Goods",250.6724,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,4075.43965129944
"472","FDQ16",19.7,"Low Fat",0.041908424,"Frozen Foods",109.5912,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1462.66438766008
"473","FDU44",12.15,"Regular",0.058377105,"Fruits and Vegetables",160.6552,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2666.33746728153
"474","FDH28",15.85,"Regular",0.184169331,"Frozen Foods",38.6506,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-1095.74143499262
"475","FDV28",12.5,"Regular",0.279663801,"Frozen Foods",35.6558,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-1323.90164207376
"476","FDM22",14,"Regular",0.042042857,"Snack Foods",53.864,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1037.66520449279
"477","FDR56",15.5,"Regular",0.100765839,"Fruits and Vegetables",196.0768,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3172.27202931614
"478","FDV39",11.3,"Low Fat",0.007291207,"Meat",196.8426,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3236.40958448129
"479","FDU37",12.5,"Regular",0.182980378,"Canned",80.496,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-543.426601951005
"480","FDQ11",5.695,"Regular",0,"Breads",256.4988,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,2388.41704721024
"481","FDX02",16,"Low Fat",0.057175809,"Dairy",223.5404,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3597.78295568038
"482","NCS42",8.6,"Low Fat",0.06969924,"Household",92.6146,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1183.9109842801
"483","FDY57",12.5,"Regular",0.120667057,"Snack Foods",94.6752,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2996.69857004083
"484","FDB21",7.475,"Low Fat",0.148751515,"Fruits and Vegetables",241.8854,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3927.16846431631
"485","FDE28",9.5,"Regular",0.133296733,"Frozen Foods",229.8668,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3909.16764821823
"486","FDQ55",13.65,"Regular",0.013111823,"Fruits and Vegetables",113.2834,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2187.05821040409
"487","FDA48",12.1,"Low Fat",0.115052659,"Baking Goods",222.6114,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3605.31483638962
"488","FDZ19",6.425,"Low Fat",0.093644428,"Fruits and Vegetables",174.3712,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2897.52063814732
"489","NCC43",7.39,"Low Fat",0.092971061,"Household",252.4066,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,4042.50089208821
"490","NCV18",6.775,"Low Fat",0.105245865,"Household",81.925,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1284.80355224654
"491","NCA42",6.965,"Low Fat",0.028664878,"Household",159.0604,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2231.40251115298
"492","FDY45",17.5,"Low Fat",0.026142114,"Snack Foods",256.3356,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,4046.16426548155
"493","NCC30",16.6,"Low Fat",0.027635129,"Household",178.8344,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2912.84877131901
"494","FDM57",11.65,"Regular",0.075786047,"Snack Foods",85.3908,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1448.84287474247
"495","FDL09",19.6,"Regular",0.214306131,"Snack Foods",166.7816,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,903.811313176856
"496","FDB09",12.5,"Low Fat",0.057118149,"Fruits and Vegetables",124.8046,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3481.4235813813
"497","FDT44",16.6,"Low Fat",0.102967068,"Fruits and Vegetables",118.8466,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2067.72339303136
"498","NCT06",12.5,"Low Fat",0.038549965,"Household",164.2842,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4032.31551973289
"499","FDX26",17.7,"Low Fat",0.087945039,"Dairy",183.3292,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2958.00258212339
"500","FDK32",16.25,"Regular",0.048934817,"Fruits and Vegetables",153.0682,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2549.08733042131
"501","DRA12",11.6,"Low Fat",0.040945898,"Soft Drinks",142.9154,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,2262.33655468363
"502","FDO46",9.6,"Regular",0.023788808,"Snack Foods",187.8872,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1295.62856939792
"503","FDE52",10.395,"Regular",0.029861927,"Dairy",86.6514,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1452.89980856224
"504","NCH42",6.86,"Low Fat",0.036611419,"Household",230.201,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3714.42892821756
"505","FDV08",7.35,"Low Fat",0.028589521,"Fruits and Vegetables",42.0454,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,899.871372538973
"506","FDB47",8.8,"Low Fat",0.071720362,"Snack Foods",210.6612,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3048.53055601811
"507","FDC28",7.905,"Low Fat",0.09203683,"Frozen Foods",110.5254,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,10.3579894865313
"508","FDD22",10,"Low Fat",0.099649694,"Snack Foods",113.7544,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,1808.41834501484
"509","FDS07",12.5,"Low Fat",0.099274751,"Fruits and Vegetables",115.2518,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3319.84760534886
"510","DRI13",15.35,"Low Fat",0.020368186,"Soft Drinks",216.9508,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3519.98776903924
"511","FDG32",19.85,"Low Fat",0.176712457,"Fruits and Vegetables",222.9772,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3243.57381547539
"512","FDU14",17.75,"Low Fat",0.034949223,"Dairy",250.275,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,4194.32449561523
"513","FDD28",12.5,"Low Fat",0.093315935,"Frozen Foods",58.7904,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-951.512997232045
"514","NCP41",16.6,"Low Fat",0.0163024,"Health and Hygiene",109.5596,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2041.3163542673
"515","FDS08",5.735,"Low Fat",0.05704978,"Fruits and Vegetables",175.037,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2915.73881376149
"516","FDX47",6.55,"Regular",0.034674522,"Breads",157.5288,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2672.75034952513
"517","FDC53",12.5,"Low Fat",0.015470159,"Frozen Foods",100.4384,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-279.509027024704
"518","FDQ19",7.35,"Regular",0.014362412,"Fruits and Vegetables",241.1512,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,4047.64743446128
"519","FDL14",8.115,"Regular",0.032224086,"Canned",154.8972,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2652.51743816304
"520","FDM33",12.5,"Low Fat",0.153585858,"Snack Foods",221.1798,"OUT019",1985,"Small","Tier 1","Grocery Store",34,1573.8725416977
"521","FDA51",8.05,"Regular",0.165013572,"Dairy",113.2518,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1897.03069952409
"522","FDZ27",7.935,"Low Fat",0.017226149,"Dairy",48.635,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,513.750989837718
"523","FDT04",17.25,"Low Fat",0.107041738,"Frozen Foods",41.2822,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,658.073312151287
"524","DRC13",8.26,"Regular",0.03249201,"Soft Drinks",124.773,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2126.26996678651
"525","FDR16",12.5,"Regular",0.104509448,"Frozen Foods",214.7218,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4853.41574817383
"526","FDQ03",12.5,"Regular",0.077636468,"Meat",236.2248,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5222.77114247832
"527","FDE38",6.52,"Low Fat",0.044598726,"Canned",167.7842,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2847.70977969739
"528","DRH23",12.5,"Low Fat",0.169493477,"Hard Drinks",57.0614,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,2362.41673742577
"529","FDT11",12.5,"Regular",0.051427223,"Breads",187.7556,"OUT019",1985,"Small","Tier 1","Grocery Store",34,1145.38239983009
"530","FDD09",13.5,"Low Fat",0.021492339,"Fruits and Vegetables",179.6976,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,3041.25752797877
"531","FDR40",9.1,"Regular",0,"Frozen Foods",81.9618,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1473.75391437805
"532","FDX07",19.2,"Regular",0.02304845,"Fruits and Vegetables",183.495,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3273.94131476096
"533","FDR07",21.35,"Low Fat",0.077729209,"Fruits and Vegetables",97.0094,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,1733.20265192094
"534","FDA51",8.05,"Regular",0.165611092,"Dairy",114.2518,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2086.95372267939
"535","FDT59",12.5,"Low Fat",0.027858864,"Breads",230.2668,"OUT019",1985,"Small","Tier 1","Grocery Store",34,1769.50675191262
"536","FDF20",12.85,"Low Fat",0.033408076,"Fruits and Vegetables",195.0768,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3409.51461144187
"537","FDR13",9.895,"Regular",0.028779079,"Canned",114.8492,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2029.4018791569
"538","FDY26",20.6,"Regular",0.030557961,"Dairy",210.2244,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3437.38451525934
"539","FDW04",8.985,"Regular",0.058154195,"Frozen Foods",129.831,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2375.55125976631
"540","FDK52",18.25,"Low Fat",0.079666936,"Frozen Foods",226.9062,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3830.40580538606
"541","FDN60",15.1,"Low Fat",0.095306027,"Baking Goods",157.1604,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2591.22369180658
"542","FDM09",12.5,"Regular",0.150455041,"Snack Foods",170.879,"OUT019",1985,"Small","Tier 1","Grocery Store",34,836.689647760471
"543","FDP46",15.35,"Low Fat",0.074731622,"Snack Foods",87.883,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1508.03236650117
"544","FDB50",12.5,"Low Fat",0.268966279,"Canned",79.1986,"OUT019",1985,"Small","Tier 1","Grocery Store",34,-634.637861291744
"545","NCQ29",12,"Low Fat",0.104392185,"Health and Hygiene",258.8278,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,4161.52084058529
"546","FDP16",12.5,"Low Fat",0.039104567,"Frozen Foods",245.3802,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,5305.87867016282
"547","FDX33",9.195,"Regular",0.117963418,"Snack Foods",161.1578,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2308.44595003914
"548","FDP07",18.2,"Low Fat",0,"Fruits and Vegetables",195.411,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1412.04183750254
"549","FDN22",18.85,"Regular",0.138305372,"Snack Foods",251.1724,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3975.49638946319
"550","FDF39",14.85,"Regular",0,"Dairy",261.691,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,4250.6151174742
"551","FDS21",19.85,"Regular",0.020994235,"Snack Foods",60.7194,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1322.39994978001
"552","NCM42",6.13,"Low Fat",0.028297924,"Household",107.1912,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,1732.58247561827
"553","FDK50",12.5,"Low Fat",0.049660306,"Canned",163.4894,"OUT019",1985,"Small","Tier 1","Grocery Store",34,744.324403973362
"554","DRF13",12.5,"Low Fat",0.029637145,"Soft Drinks",146.9444,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3776.25411042875
"555","FDH35",18.25,"Low Fat",0.06049406,"Starchy Foods",163.9526,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2355.95222480278
"556","FDP60",17.35,"Low Fat",0.056146632,"Baking Goods",99.5016,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1330.18452026724
"557","DRJ49",12.5,"Low Fat",0.013925484,"Soft Drinks",130.1652,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3519.92548642359
"558","NCT42",12.5,"Low Fat",0.043574485,"Household",148.3392,"OUT019",1985,"Small","Tier 1","Grocery Store",34,445.757241087744
"559","FDE38",6.52,"Low Fat",0.044676513,"Canned",167.6842,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2800.1226244917
"560","FDI04",13.65,"Regular",0.073025792,"Frozen Foods",198.6426,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3261.34544942274
"561","NCH54",13.5,"Low Fat",0.072816495,"Household",157.892,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2574.64782721733
"562","FDT56",16,"Regular",0.115772125,"Fruits and Vegetables",58.9246,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1130.22083312664
"563","DRD15",10.6,"Low Fat",0.057027285,"Dairy",232.3642,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,3359.64001090478
"564","FDV58",20.85,"Low Fat",0,"Snack Foods",193.8452,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3110.60945817648
"565","FDP21",7.42,"Regular",0.025780862,"Snack Foods",187.0872,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,3115.63861013991
"566","FDH05",14.35,"Regular",0.090837986,"Frozen Foods",232.7984,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3720.47322130994
"567","FDR10",12.5,"Low Fat",0.009991275,"Snack Foods",161.5552,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,4026.74235534442
"568","NCP06",20.7,"Low Fat",0.039325397,"Household",149.4366,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2449.68442649188
"569","FDF33",7.97,"Low Fat",0.02156897,"Seafood",106.4596,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,2011.42663144476
"570","DRK37",5,"Low Fat",0,"Soft Drinks",188.353,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,3016.0223509741
"571","DRH49",19.7,"Low Fat",0,"Soft Drinks",84.2592,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1458.92951107489
"572","FDT58",9,"Low Fat",0.085883187,"Snack Foods",167.4816,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2679.980284199
"573","FDD41",6.765,"Regular",0.087615564,"Frozen Foods",104.3306,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1418.00842156993
"574","FDP40",4.555,"Regular",0.034497126,"Frozen Foods",110.3544,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,1529.12897258998
"575","FDM51",12.5,"Regular",0.025800674,"Meat",101.6674,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3144.49537192087
"576","FDO45",13.15,"Regular",0.063525167,"Snack Foods",86.3856,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-298.009054022368
"577","FDW33",9.395,"Low Fat",0.165907543,"Snack Foods",106.528,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,-58.6786008273759
"578","FDY24",4.88,"Regular",0,"Baking Goods",54.1298,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1070.44461881913
"579","FDB10",10,"Low Fat",0.112492619,"Snack Foods",237.559,"OUT010",1998,"Medium","Tier 3","Grocery Store",21,1996.62752737686
"580","FDM40",10.195,"Low Fat",0.159906706,"Frozen Foods",141.7154,"OUT035",2004,"Small","Tier 2","Supermarket Type1",15,2351.82807048025
"581","NCI06",11.3,"Low Fat",0.0479876,"Household",180.866,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,3115.44597991548
"582","FDW12",12.5,"Regular",0.062282301,"Baking Goods",143.5444,"OUT019",1985,"Small","Tier 1","Grocery Store",34,449.451219377853
"583","FDX48",12.5,"Regular",0.03770442,"Baking Goods",154.8656,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3970.03360575076
"584","NCW05",12.5,"Low Fat",0.147355554,"Health and Hygiene",107.0938,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3137.53844061597
"585","FDX27",20.7,"Regular",0.114762583,"Dairy",95.1436,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,1798.77023709692
"586","DRM37",15.35,"Low Fat",0.09659331,"Soft Drinks",198.2768,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3206.02861170844
"587","FDA38",5.44,"Low Fat",0.025531593,"Dairy",241.5538,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3893.12713396325
"588","FDR36",6.715,"Regular",0.121586376,"Baking Goods",40.0454,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,712.094525023653
"589","FDZ45",14.1,"Low Fat",0.066875983,"Snack Foods",198.8084,"OUT046",1997,"Small","Tier 1","Supermarket Type1",22,3140.09937641152
"590","FDG05",11,"Regular",0.088344041,"Frozen Foods",158.463,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2810.90194895797
"591","FDK28",5.695,"Low Fat",0.065535324,"Frozen Foods",258.5646,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,4088.87658801113
"592","FDV47",17.1,"Low Fat",0.054317483,"Breads",85.7566,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,1499.72656746354
"593","FDN21",18.6,"Low Fat",0.077011493,"Snack Foods",160.5236,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,2639.91147373613
"594","FDP20",12.5,"Low Fat",0.045448081,"Fruits and Vegetables",127.202,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3522.30692505383
"595","FDI35",14,"Low Fat",0.041374909,"Starchy Foods",181.7634,"OUT045",2002,"Medium","Tier 2","Supermarket Type1",17,3019.36656448353
"596","DRY23",9.395,"Regular",0.109005584,"Soft Drinks",43.3112,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,767.831975417728
"597","FDA56",9.21,"Low Fat",0.008814363,"Fruits and Vegetables",122.7414,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2293.10406616698
"598","FDB09",16.25,"Low Fat",0.057348328,"Fruits and Vegetables",123.2046,"OUT013",1987,"High","Tier 3","Supermarket Type1",32,2037.03938667424
"599","NCO26",12.5,"Low Fat",0.076483451,"Household",117.3492,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3290.24591781537
"600","FDQ49",20.2,"Regular",0.039407615,"Breakfast",156.563,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2273.45394348708
"601","FDI52",12.5,"Low Fat",0.104171229,"Frozen Foods",122.4072,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3372.10985436873
"602","FDZ44",12.5,"Low Fat",0.03854151,"Fruits and Vegetables",117.4808,"OUT027",1985,"Medium","Tier 3","Supermarket Type3",34,3373.12810485491
"603","FDZ09",17.6,"Low Fat",0.105306199,"Snack Foods",164.3868,"OUT018",2009,"Medium","Tier 3","Supermarket Type2",10,2313.64607321381
"604","FDY03",17.6,"Regular",0.07624018,"Meat",113.1202,"OUT049",1999,"Medium","Tier 1","Supermarket Type1",20,1953.84756289399
"605","NCG42",19.2,"Low Fat",0.041461032,"Household",129.931,"OUT017",2007,"Medium","Tier 2","Supermarket Type1",12,2320.75863475811
